id_zona;id_modo;quantidade_viagens_produzidas;quantidade_viagens_atraidas
1;1;42628;40503
1;2;968;968
1;3;13715;15839
1;4;259;259
1;5;38;38
1;6;8260;8260
1;7;1366;1277
1;8;270;457
1;9;2569;1770
1;10;2503;2503
1;11;610;0
1;12;155;155
1;13;17013;18456
1;14;0;0
2;1;25391;25359
2;2;6939;6468
2;3;17119;18948
2;4;176;176
2;5;0;0
2;6;12790;12755
2;7;3524;3336
2;8;408;408
2;9;2035;1161
2;10;1405;1405
2;11;0;0
2;12;550;550
2;13;12466;12504
2;14;0;0
3;1;17628;18395
3;2;0;0
3;3;2864;3023
3;4;0;0
3;5;262;262
3;6;5767;5679
3;7;648;556
3;8;32;32
3;9;1446;1446
3;10;2116;2116
3;11;359;359
3;12;1800;1800
3;13;15933;15225
3;14;52;52
4;1;12704;14240
4;2;280;280
4;3;7495;6735
4;4;0;0
4;5;0;0
4;6;10151;10151
4;7;3761;3151
4;8;1142;1321
4;9;1989;1327
4;10;2659;2659
4;11;435;435
4;12;297;297
4;13;23434;23969
4;14;0;0
5;1;54648;56105
5;2;3983;3532
5;3;21319;20818
5;4;0;0
5;5;0;0
5;6;12710;12832
5;7;2241;1989
5;8;320;320
5;9;4428;4884
5;10;1366;1366
5;11;0;0
5;12;1064;1064
5;13;22780;22926
5;14;0;0
6;1;17440;16871
6;2;9303;9543
6;3;11320;12372
6;4;0;0
6;5;288;288
6;6;7834;8326
6;7;830;408
6;8;38;38
6;9;812;975
6;10;2109;2109
6;11;0;0
6;12;4728;4728
6;13;12496;12643
6;14;0;0
7;1;14907;15415
7;2;11775;12899
7;3;8071;7926
7;4;455;455
7;5;377;377
7;6;9034;9936
7;7;2324;1985
7;8;530;530
7;9;1092;785
7;10;928;928
7;11;0;0
7;12;516;516
7;13;11541;11541
7;14;0;0
8;1;1909;2003
8;2;2341;2341
8;3;4056;3284
8;4;0;0
8;5;1168;1196
8;6;2246;2246
8;7;822;1543
8;8;32;32
8;9;534;479
8;10;747;747
8;11;0;0
8;12;895;895
8;13;14303;14246
8;14;0;0
9;1;8158;6473
9;2;1191;1796
9;3;6740;6944
9;4;0;0
9;5;36;0
9;6;5235;5207
9;7;1010;772
9;8;263;263
9;9;937;972
9;10;1960;1960
9;11;0;0
9;12;914;914
9;13;4750;4784
9;14;0;0
10;1;7356;7278
10;2;145;145
10;3;4299;4339
10;4;422;422
10;5;922;957
10;6;2702;3066
10;7;414;386
10;8;0;0
10;9;852;852
10;10;54;54
10;11;10;10
10;12;668;643
10;13;2624;2605
10;14;17;17
11;1;993;944
11;2;1257;1577
11;3;2397;2170
11;4;0;0
11;5;275;275
11;6;1401;1401
11;7;413;396
11;8;62;0
11;9;488;488
11;10;73;73
11;11;0;0
11;12;878;878
11;13;2455;2505
11;14;12;12
12;1;3214;3234
12;2;1681;1831
12;3;6608;6235
12;4;0;0
12;5;142;142
12;6;10935;11380
12;7;2800;4610
12;8;64;64
12;9;1797;2073
12;10;645;645
12;11;541;541
12;12;620;620
12;13;14227;14068
12;14;28;28
13;1;3634;3274
13;2;11545;11545
13;3;1629;1868
13;4;0;0
13;5;34;34
13;6;4652;4699
13;7;3478;4868
13;8;0;0
13;9;2046;1899
13;10;1414;390
13;11;0;0
13;12;556;510
13;13;1780;1639
13;14;0;0
14;1;4862;4849
14;2;10642;11577
14;3;11700;11245
14;4;389;522
14;5;517;517
14;6;4794;4824
14;7;1003;1220
14;8;72;129
14;9;555;569
14;10;957;1980
14;11;855;0
14;12;1259;1329
14;13;6990;7013
14;14;134;0
15;1;6071;5997
15;2;4937;4618
15;3;2450;3063
15;4;226;226
15;5;458;458
15;6;4294;4294
15;7;1106;1044
15;8;0;0
15;9;432;317
15;10;1171;1171
15;11;0;0
15;12;252;252
15;13;4050;4172
15;14;0;0
16;1;7248;7887
16;2;3960;4891
16;3;8989;10457
16;4;0;0
16;5;1132;1132
16;6;3674;3511
16;7;1415;1105
16;8;0;0
16;9;1075;410
16;10;1348;1387
16;11;0;0
16;12;1064;932
16;13;20308;19025
16;14;0;0
17;1;3450;3734
17;2;1826;1826
17;3;3827;3391
17;4;0;0
17;5;50;50
17;6;5142;5142
17;7;491;362
17;8;0;0
17;9;876;822
17;10;48;48
17;11;0;0
17;12;1049;1181
17;13;7855;8060
17;14;0;0
18;1;8832;9737
18;2;3411;2954
18;3;11434;11642
18;4;0;0
18;5;902;902
18;6;10320;10999
18;7;4888;5004
18;8;179;0
18;9;1408;1311
18;10;781;781
18;11;287;287
18;12;2166;2166
18;13;20706;21349
18;14;0;0
19;1;4874;5444
19;2;308;0
19;3;6839;6839
19;4;0;0
19;5;852;852
19;6;9936;9936
19;7;3219;3666
19;8;164;133
19;9;1742;1106
19;10;1068;1076
19;11;0;0
19;12;0;0
19;13;12690;12621
19;14;0;0
20;1;2528;2528
20;2;0;0
20;3;6176;6002
20;4;914;914
20;5;2572;2572
20;6;7357;7357
20;7;759;759
20;8;0;49
20;9;2170;2286
20;10;982;982
20;11;169;169
20;12;0;0
20;13;17486;17486
20;14;0;0
21;1;3608;3995
21;2;251;0
21;3;2609;2794
21;4;0;0
21;5;2301;2301
21;6;4921;4921
21;7;543;543
21;8;0;0
21;9;1080;1080
21;10;1484;1484
21;11;114;114
21;12;712;712
21;13;8152;8161
21;14;0;0
22;1;7136;6877
22;2;0;0
22;3;3833;4268
22;4;0;0
22;5;1557;1557
22;6;3159;3159
22;7;965;755
22;8;0;0
22;9;320;494
22;10;533;533
22;11;0;0
22;12;0;0
22;13;4180;4236
22;14;0;0
23;1;22801;22649
23;2;289;289
23;3;1453;1658
23;4;96;96
23;5;546;546
23;6;8616;8616
23;7;2702;2771
23;8;113;113
23;9;928;970
23;10;1100;1100
23;11;0;0
23;12;38;38
23;13;3546;3554
23;14;0;0
24;1;31354;31044
24;2;0;122
24;3;3664;4090
24;4;0;0
24;5;591;591
24;6;6656;6492
24;7;2321;2533
24;8;195;195
24;9;1706;1430
24;10;391;649
24;11;0;30
24;12;99;99
24;13;9963;10176
24;14;0;0
25;1;3425;2769
25;2;306;0
25;3;7182;7245
25;4;0;0
25;5;740;740
25;6;3814;3859
25;7;716;824
25;8;246;246
25;9;1810;2038
25;10;233;233
25;11;19;19
25;12;405;405
25;13;10406;10624
25;14;0;0
26;1;6332;3661
26;2;584;1157
26;3;4892;7299
26;4;0;0
26;5;654;654
26;6;7106;7246
26;7;1296;1076
26;8;128;306
26;9;672;980
26;10;31;31
26;11;0;0
26;12;1583;1583
26;13;8188;7787
26;14;0;0
27;1;36229;38501
27;2;364;364
27;3;15869;15373
27;4;180;180
27;5;1540;1540
27;6;13625;13533
27;7;3266;3866
27;8;1145;877
27;9;5378;4392
27;10;2405;2405
27;11;65;65
27;12;333;333
27;13;8863;9062
27;14;0;0
28;1;13065;10337
28;2;0;398
28;3;8219;8176
28;4;162;162
28;5;257;257
28;6;11359;11317
28;7;3238;3827
28;8;225;350
28;9;3049;1748
28;10;1367;1367
28;11;30;0
28;12;148;148
28;13;4955;7495
28;14;0;0
29;1;37952;37482
29;2;0;895
29;3;8756;9467
29;4;0;0
29;5;482;482
29;6;25239;24734
29;7;3872;3321
29;8;854;909
29;9;4829;5130
29;10;1956;1956
29;11;0;39
29;12;0;0
29;13;15492;14533
29;14;0;0
30;1;7207;7525
30;2;7;7
30;3;3587;3045
30;4;268;0
30;5;519;787
30;6;7613;7630
30;7;2785;2219
30;8;347;303
30;9;2590;2835
30;10;127;127
30;11;0;0
30;12;264;264
30;13;12653;12751
30;14;52;52
31;1;29739;30658
31;2;0;0
31;3;17552;16992
31;4;0;0
31;5;1007;1007
