id_zona;id_motivo;quantidade_viagens_produzidas;quantidade_viagens_produzidas_motivo_no_destino;quantidade_viagens_atraidas;quantidade_viagens_atraidas_motivo_no_destino
1;1;1967;140;1967;1897
1;2;7230;1408;8096;7519
1;3;49958;9419;48967;47829
1;4;8002;2920;7116;5773
1;5;3153;84;3460;3376
1;6;1293;989;1241;949
1;7;1606;422;1358;1314
1;8;862;79;862;783
1;9;10035;1906;10256;10106
1;10;6248;6248;7161;7161
2;1;1216;544;672;672
2;2;28976;2824;29321;28576
2;3;21914;2883;23187;21392
2;4;3062;1900;2734;1706
2;5;19169;627;19961;19745
2;6;875;44;875;831
2;7;883;373;1105;732
2;8;0;0;0;0
2;9;3380;523;3166;2983
2;10;3328;3125;2050;2050
3;1;750;0;750;750
3;2;4238;3651;4442;587
3;3;22504;6267;23826;19642
3;4;9854;5489;9243;4364
3;5;2827;258;3040;2943
3;6;1585;1227;1585;358
3;7;1038;234;1161;804
3;8;0;0;0;0
3;9;3343;416;3596;2926
3;10;2767;2767;1301;1093
4;1;435;0;435;435
4;2;7780;4305;7055;3475
4;3;27229;9913;27720;20907
4;4;6505;3670;6017;3123
4;5;2486;1592;2351;902
4;6;1141;1056;1285;229
4;7;7194;2717;7336;4608
4;8;0;0;0;0
4;9;8352;7464;9469;1847
4;10;3226;2635;2897;2305
5;1;4115;652;4388;4089
5;2;16243;2384;16856;14968
5;3;71400;10956;74661;67710
5;4;5942;2584;3995;3414
5;5;4193;1186;3974;3032
5;6;1985;0;2251;2251
5;7;4909;1458;4315;3618
5;8;1358;0;1358;1358
5;9;10057;1754;8953;8407
5;10;4657;3855;5085;4957
6;1;1194;1107;1188;30
6;2;17697;3079;17618;15211
6;3;32219;10832;32447;22907
6;4;4928;3972;4632;1104
6;5;2932;665;2920;2255
6;6;3841;1433;3823;2408
6;7;1397;427;1380;953
6;8;130;0;130;130
6;9;2495;0;2453;2453
6;10;365;317;1708;1708
7;1;4332;886;4332;3447
7;2;12316;1499;12211;11048
7;3;23341;5952;23842;20212
7;4;7901;3891;8234;5422
7;5;5357;2204;5357;3153
7;6;544;544;544;0
7;7;2456;496;2488;1993
7;8;1191;254;1191;936
7;9;4112;1106;3457;3051
7;10;0;0;1637;1637
8;1;2356;535;2356;1973
8;2;4409;2771;4462;2131
8;3;6276;2141;5798;4156
8;4;13183;5758;13140;7490
8;5;1169;592;1229;637
8;6;251;251;251;0
8;7;938;195;938;743
8;8;0;0;0;0
8;9;283;164;543;439
8;10;188;188;295;295
9;1;2173;213;2113;1900
9;2;756;367;791;423
9;3;12222;3578;13517;10881
9;4;10185;1751;10158;8710
9;5;434;363;434;70
9;6;745;34;745;711
9;7;1600;1110;975;490
9;8;0;0;0;0
9;9;1334;173;1350;1178
9;10;1744;1744;0;0
10;1;845;103;845;742
10;2;4787;535;4736;4252
10;3;4962;276;6081;5818
10;4;7636;1073;7608;6718
10;5;53;33;460;427
10;6;50;33;130;96
10;7;1952;794;751;751
10;8;0;0;0;0
10;9;200;166;137;35
10;10;0;0;26;26
11;1;872;96;924;775
11;2;2928;696;3247;2551
11;3;999;797;987;214
11;4;4082;1961;3932;2279
11;5;289;289;289;0
11;6;566;566;566;0
11;7;596;596;418;0
11;8;0;0;0;0
11;9;372;328;356;45
11;10;0;0;0;0
12;1;2269;769;2508;2226
12;2;12953;1795;14896;13274
12;3;13143;3926;12694;9865
12;4;8215;4614;8493;3910
12;5;2329;702;2346;1644
12;6;1551;661;1551;889
12;7;657;632;461;49
12;8;0;0;0;0
12;9;1396;316;1385;1071
12;10;788;683;1138;1138
13;1;109;0;109;109
13;2;18935;353;20349;19983
13;3;2927;100;1821;1733
13;4;1256;812;647;460
13;5;6268;26;6529;6503
13;6;32;32;32;0
13;7;63;63;63;0
13;8;0;0;0;0
13;9;1178;42;1178;1136
13;10;0;0;0;0
14;1;1774;0;1860;1860
14;2;16371;1136;16521;15731
14;3;5112;365;7227;6954
14;4;6546;936;6158;5690
14;5;11304;134;11285;11170
14;6;241;16;241;225
14;7;392;103;353;289
14;8;262;8;262;254
14;9;2014;465;1496;1391
14;10;711;700;372;361
15;1;1751;254;1751;1497
15;2;7210;2037;7123;5198
15;3;6830;1682;7456;5954
15;4;3274;2464;2617;916
15;5;2857;193;2942;2675
15;6;1020;480;1022;541
15;7;265;62;456;203
15;8;0;0;0;0
15;9;2160;322;2245;1839
15;10;81;81;0;0
16;1;11143;4487;11168;6681
16;2;6077;2485;6898;4078
16;3;14550;6238;14944;8997
16;4;10707;6180;10007;4457
16;5;2784;952;2784;1832
16;6;929;705;929;224
16;7;1671;766;1671;905
16;8;376;0;376;376
16;9;1960;778;1960;1182
16;10;16;16;0;0
17;1;289;143;289;145
17;2;8229;1978;8292;6317
17;3;6549;2373;7592;5219
17;4;3834;3162;3356;698
17;5;2694;583;2497;1928
17;6;431;431;429;0
17;7;823;145;1005;860
17;8;0;0;0;0
17;9;1207;149;1155;1058
17;10;561;561;0;0
18;1;5055;174;7673;7499
18;2;6847;4244;6296;2746
18;3;20615;8641;22777;14786
18;4;17161;8846;17209;8964
18;5;3875;2542;3616;1338
18;6;3766;282;4206;3724
18;7;1725;1282;1240;798
18;8;116;95;116;21
18;9;5500;3337;3625;2687
18;10;653;653;372;372
19;1;1568;176;1645;1469
19;2;4903;3014;4877;1863
19;3;14041;7796;15520;8226
19;4;12354;6059;11058;6853
19;5;1575;758;1454;817
19;6;4789;392;4789;4396
19;7;543;0;664;664
