id_zona;id_tipo;quantidade_viagens_produzidas;quantidade_viagens_atraidas
1;1;57609;57608
1;2;15578;14266
2;1;49625;50951
2;2;20162;19066
3;1;20754;21680
3;2;10420;10239
4;1;20480;21255
4;2;20136;19044
5;1;79950;80455
5;2;21065;21392
6;1;38351;39073
6;2;11624;11857
7;1;35585;37072
7;2;13908;14163
8;1;9474;8825
8;2;4381;5047
9;1;16124;15213
9;2;9404;9173
10;1;13143;13141
10;2;4050;4385
11;1;4922;4966
11;2;2449;2370
12;1;11645;11443
12;2;16809;19341
13;1;16842;16721
13;2;11589;11857
14;1;28111;28710
14;2;8369;8723
15;1;14141;14361
15;2;7004;6827
16;1;21329;24366
16;2;7512;6413
17;1;9153;9001
17;2;6557;6373
18;1;24578;25235
18;2;17863;18381
19;1;12873;13134
19;2;16128;15918
20;1;12190;12016
20;2;11438;11603
21;1;8770;9091
21;2;8142;8142
22;1;12525;12701
22;2;4976;4940
23;1;25185;25237
23;2;13460;13570
24;1;35609;35847
24;2;11268;11329
25;1;11652;10753
25;2;6839;7220
26;1;12462;12772
26;2;9232;9640
27;1;54182;55958
27;2;25884;25138
28;1;21703;19329
28;2;19269;18609
29;1;47191;48326
29;2;36750;36089
30;1;11588;11363
30;2;13513;13165
31;1;48298;48657
31;2;31150;31095
32;1;41811;43310
32;2;23214;22980
33;1;1632;1017
33;2;3303;4140
34;1;6371;6051
34;2;10367;10813
35;1;35985;36612
35;2;24065;23880
36;1;35220;35302
36;2;27737;27104
37;1;9289;10004
37;2;8744;8787
38;1;1854;1864
38;2;4656;4825
39;1;16151;15334
39;2;9472;9534
40;1;16024;15573
40;2;9088;9200
41;1;24056;24051
41;2;17962;17405
42;1;7564;7468
42;2;4479;4567
43;1;35839;37094
43;2;27456;27816
44;1;17545;16709
44;2;24425;26237
45;1;34286;34906
45;2;42523;41271
46;1;16344;17009
46;2;18976;19307
47;1;6592;6329
47;2;15248;15497
48;1;11424;11475
48;2;19272;20207
49;1;19070;19026
49;2;12858;12908
50;1;5651;5642
50;2;6227;6939
51;1;11568;11659
51;2;13754;13547
52;1;10710;10526
52;2;10212;10179
53;1;26308;26168
53;2;19342;19744
54;1;26319;27428
54;2;20316;21829
55;1;20632;21386
55;2;18713;18383
56;1;25425;25862
56;2;14957;14209
57;1;32914;31453
57;2;20971;21261
58;1;24804;23577
58;2;25969;26472
59;1;38267;38923
59;2;34082;33142
60;1;12332;12313
60;2;21512;22017
61;1;23754;23979
61;2;24080;23615
62;1;12306;12646
62;2;23121;21854
63;1;16085;15764
63;2;12420;13125
64;1;31389;29820
64;2;43851;43599
65;1;16858;15869
65;2;24603;25346
66;1;21670;21734
66;2;31530;31451
67;1;9860;8956
67;2;12377;12559
68;1;42026;42061
68;2;42388;41941
69;1;27355;28083
69;2;19462;19619
70;1;17203;19484
70;2;19982;20918
71;1;21747;23352
71;2;35588;34623
72;1;13882;14524
72;2;21616;20772
73;1;61425;62978
73;2;67009;65588
74;1;41205;40745
74;2;22281;21886
75;1;9350;9452
75;2;12519;12322
76;1;13727;12619
76;2;13643;13764
77;1;38968;42184
77;2;32122;31097
78;1;18358;18362
78;2;16492;16530
79;1;39790;41982
79;2;26481;26510
80;1;23239;23492
80;2;22531;22355
81;1;22056;22095
81;2;29906;29915
82;1;46722;49730
82;2;47924;46353
83;1;23274;23876
83;2;29804;30062
84;1;14091;13914
84;2;24992;25000
85;1;2051;2279
85;2;8693;8440
86;1;3573;3554
86;2;3491;3509
87;1;10861;10584
87;2;22081;21933
88;1;22906;22635
88;2;42827;43425
89;1;4170;4329
89;2;8687;8528
90;1;8725;9252
90;2;11927;11409
91;1;33304;32140
91;2;15196;15295
92;1;21001;19850
