id_zona;ano;renda_per_capita;renda_mediana_familia;renda_media_familiar
1;2023;2309;5036;5141
2;2023;2247;4000;5240
3;2023;2443;3000;5447
4;2023;2930;4545;5420
5;2023;3614;5024;6305
6;2023;1882;3300;4255
7;2023;1880;3797;4908
8;2023;2255;4484;6300
9;2023;2067;4196;5701
10;2023;955;3039;4517
11;2023;1786;4072;5187
12;2023;2481;4592;7651
13;2023;2076;4592;5191
14;2023;1845;4684;4775
15;2023;1862;4000;4455
16;2023;2809;4850;6385
17;2023;1518;3699;3979
18;2023;2473;5206;5816
19;2023;3264;6050;7785
20;2023;3179;5024;7164
21;2023;6187;10000;13800
22;2023;4349;7130;8547
23;2023;3275;6198;6036
24;2023;3111;4500;6148
25;2023;3353;5344;6554
26;2023;3117;5000;6185
27;2023;7708;10000;15567
28;2023;7791;13386;15095
29;2023;5973;8201;10116
30;2023;7901;11819;16495
31;2023;5866;8000;10186
32;2023;7061;10000;12897
33;2023;10490;23435;30101
34;2023;7914;15000;18439
35;2023;3217;5000;6243
36;2023;5783;10000;12091
37;2023;4808;7388;10683
38;2023;1686;4036;4806
39;2023;2065;4368;5648
40;2023;2298;5779;5609
41;2023;3593;7130;9444
42;2023;1323;3301;3519
43;2023;3802;7646;9781
44;2023;3620;6000;8931
45;2023;4213;7000;10592
46;2023;2144;4300;5179
47;2023;2425;5050;5806
48;2023;3768;7646;9168
49;2023;4473;7000;9200
50;2023;2552;5388;6051
51;2023;7906;15398;18447
52;2023;5850;9717;12336
53;2023;5096;9500;11820
54;2023;5378;9433;11284
55;2023;5568;8850;12497
56;2023;4739;8350;9584
57;2023;5073;8201;11257
58;2023;4092;8000;9422
59;2023;3775;7573;8625
60;2023;2392;5388;6085
61;2023;2382;5388;5181
62;2023;6040;10851;13553
63;2023;4836;11638;12760
64;2023;5649;10117;12185
65;2023;19603;38000;42571
66;2023;9968;17200;21124
67;2023;5572;9433;12628
68;2023;5078;8201;10520
69;2023;7708;11638;14914
70;2023;5913;10142;11915
71;2023;7903;13000;17456
72;2023;9430;17712;20997
73;2023;9698;15398;20877
74;2023;9460;15000;18877
75;2023;5409;8796;11055
76;2023;6649;12481;15573
77;2023;8706;12468;17076
78;2023;9251;13386;19144
