id_zona;id_faixa;quantidade_pessoas
1;1;375
1;2;797
1;3;2181
1;4;207
1;5;40
2;1;448
2;2;1682
2;3;1413
2;4;525
2;5;177
3;1;6418
3;2;7247
3;3;2800
3;4;0
3;5;114
4;1;2728
4;2;9853
4;3;10381
4;4;1364
4;5;579
5;1;591
5;2;9242
5;3;4213
5;4;103
5;5;950
6;1;5564
6;2;9306
6;3;6105
6;4;976
6;5;272
7;1;3240
7;2;5587
7;3;4282
7;4;856
7;5;885
8;1;1209
8;2;5043
8;3;3194
8;4;1394
8;5;1035
9;1;1287
9;2;3550
9;3;1711
9;4;941
9;5;142
10;1;346
10;2;1234
10;3;387
10;4;150
10;5;18
11;1;359
11;2;2534
11;3;1039
11;4;414
11;5;0
12;1;886
12;2;5034
12;3;3389
12;4;665
12;5;1337
13;1;76
13;2;361
13;3;354
13;4;8
13;5;12
14;1;226
14;2;864
14;3;524
14;4;87
14;5;0
15;1;1420
15;2;4551
15;3;2111
15;4;510
15;5;0
16;1;972
16;2;6214
16;3;7906
16;4;1825
16;5;2494
17;1;2597
17;2;4177
17;3;2369
17;4;55
17;5;0
18;1;309
18;2;12422
18;3;13128
18;4;700
18;5;101
19;1;2182
19;2;5374
19;3;7694
19;4;1838
19;5;2537
20;1;1130
20;2;8942
20;3;10482
20;4;2637
20;5;1492
21;1;44
21;2;2762
21;3;4699
21;4;4450
21;5;4749
22;1;195
22;2;2407
22;3;5955
22;4;1965
22;5;889
23;1;288
23;2;963
23;3;2672
23;4;239
23;5;0
24;1;2240
24;2;3448
24;3;3315
24;4;941
24;5;793
25;1;536
25;2;6152
25;3;7323
25;4;1839
25;5;896
26;1;1300
26;2;4436
26;3;4567
26;4;967
26;5;553
27;1;307
27;2;1400
27;3;5113
27;4;2589
27;5;6005
28;1;109
28;2;259
28;3;1806
28;4;2333
28;5;2883
29;1;424
29;2;2378
29;3;2956
29;4;2729
29;5;1653
30;1;211
30;2;1105
30;3;5440
30;4;2808
30;5;7223
31;1;1208
31;2;4550
31;3;5679
31;4;5628
31;5;5378
32;1;25
32;2;636
32;3;3002
32;4;1289
32;5;2389
33;1;0
33;2;28
33;3;353
33;4;196
33;5;960
34;1;40
34;2;120
34;3;1334
34;4;1751
34;5;3221
35;1;561
35;2;20819
35;3;8880
35;4;3538
35;5;766
36;1;127
36;2;2197
36;3;16876
36;4;9798
36;5;10382
37;1;382
37;2;1711
37;3;3650
37;4;1016
37;5;2283
38;1;871
38;2;2752
38;3;1657
38;4;244
38;5;0
39;1;1341
39;2;6029
39;3;2645
39;4;3202
39;5;0
40;1;918
40;2;1922
40;3;4960
40;4;337
40;5;73
41;1;1109
41;2;6207
41;3;8216
41;4;3812
41;5;3966
42;1;1905
42;2;4334
42;3;672
42;4;0
42;5;0
43;1;684
43;2;5687
43;3;9983
43;4;4235
43;5;11505
44;1;2110
44;2;1938
44;3;8918
44;4;755
44;5;3228
45;1;1021
45;2;3976
45;3;15577
45;4;968
45;5;12305
46;1;7915
46;2;16804
46;3;8405
46;4;1343
46;5;2647
47;1;1466
47;2;11868
47;3;9888
47;4;2166
47;5;616
48;1;2319
48;2;4403
48;3;7336
48;4;9346
48;5;1399
49;1;665
49;2;3097
49;3;4103
49;4;5314
49;5;1682
50;1;0
50;2;3313
50;3;5160
50;4;1089
50;5;0
51;1;0
51;2;1129
51;3;3347
51;4;4148
51;5;7262
52;1;169
52;2;921
52;3;3896
52;4;2294
52;5;2243
53;1;0
53;2;1461
53;3;6106
53;4;3792
53;5;2697
54;1;35
54;2;1143
54;3;3490
54;4;2153
54;5;1624
55;1;581
55;2;2253
55;3;4071
55;4;3035
55;5;5539
56;1;253
56;2;2942
56;3;9117
56;4;5417
56;5;2690
57;1;1454
57;2;4309
57;3;6752
57;4;3819
57;5;5885
58;1;1393
58;2;5623
58;3;11329
58;4;9402
58;5;6579
59;1;2067
59;2;8910
59;3;22478
59;4;11668
59;5;4999
60;1;174
60;2;3326
60;3;15647
60;4;1528
60;5;0
61;1;1865
61;2;10476
61;3;14197
61;4;0
61;5;0
62;1;0
62;2;814
62;3;1434
62;4;1754
62;5;937
63;1;13
63;2;104
63;3;603
63;4;781
63;5;548
64;1;107
64;2;3207
64;3;12854
64;4;6814
64;5;8358
65;1;246
65;2;0
65;3;481
65;4;2199
65;5;23386
66;1;294
66;2;61
66;3;1300
66;4;1722
66;5;7006
67;1;122
67;2;330
67;3;4861
67;4;1887
67;5;1712
68;1;269
68;2;4300
68;3;11971
68;4;5007
68;5;4053
69;1;0
69;2;995
69;3;3264
69;4;2625
69;5;3768
70;1;0
70;2;2137
70;3;5924
70;4;3533
70;5;1776
71;1;460
71;2;2233
71;3;6559
71;4;7233
71;5;14817
72;1;250
72;2;350
72;3;2549
72;4;2346
72;5;7685
73;1;455
73;2;991
73;3;986
73;4;2059
73;5;5379
74;1;120
74;2;110
74;3;2076
74;4;3051
74;5;6167
75;1;0
75;2;2252
75;3;5186
75;4;2858
75;5;2943
76;1;0
76;2;363
76;3;3032
76;4;2806
76;5;3048
77;1;467
77;2;3770
77;3;5251
77;4;4718
77;5;8127
78;1;57
78;2;136
78;3;4635
78;4;4156
78;5;9010
79;1;364
79;2;819
79;3;2083
79;4;1432
79;5;4857
80;1;50
80;2;1445
80;3;6466
80;4;5370
80;5;5745
81;1;0
81;2;105
81;3;910
81;4;1866
81;5;9030
82;1;374
82;2;642
82;3;3888
82;4;3645
82;5;3849
83;1;118
83;2;2589
83;3;6778
83;4;5968
83;5;7926
84;1;61
84;2;2306
84;3;6311
84;4;4286
84;5;3733
85;1;19
85;2;213
85;3;809
85;4;990
85;5;2259
86;1;11
86;2;101
86;3;1438
86;4;1065
86;5;416
87;1;67
87;2;2043
87;3;4534
87;4;3190
87;5;6916
88;1;88
88;2;3556
88;3;11516
88;4;8790
88;5;15182
89;1;154
89;2;3189
89;3;6180
89;4;1200
89;5;1601
90;1;214
90;2;1568
90;3;4555
90;4;2004
90;5;4368
91;1;4719
91;2;4123
91;3;4923
91;4;576
91;5;0
92;1;147
92;2;610
92;3;1086
92;4;500
92;5;1142
93;1;424
93;2;1046
93;3;4156
93;4;2296
93;5;2431
94;1;271
94;2;75
94;3;2395
94;4;733
94;5;2615
95;1;0
95;2;1029
95;3;2252
95;4;3367
95;5;9722
96;1;199
96;2;495
96;3;1265
96;4;1043
96;5;3425
97;1;0
97;2;303
97;3;2266
97;4;2437
97;5;10483
98;1;1069
98;2;1940
98;3;3081
98;4;2481
98;5;261
99;1;906
99;2;2287
99;3;3712
99;4;1616
99;5;227
100;1;425
100;2;4904
100;3;9804
100;4;1381
100;5;7194
101;1;2049
101;2;5207
101;3;5384
101;4;4653
101;5;4273
102;1;0
102;2;1586
102;3;1663
102;4;473
102;5;8333
103;1;0
103;2;116
103;3;263
103;4;190
103;5;1934
104;1;48
104;2;277
104;3;1517
104;4;2033
104;5;2514
105;1;107
105;2;1970
105;3;2104
105;4;2374
105;5;6445
106;1;3655
106;2;2927
106;3;422
106;4;0
106;5;0
107;1;203
107;2;783
107;3;3679
107;4;4275
107;5;7421
108;1;915
108;2;1403
108;3;1584
108;4;667
108;5;715
109;1;15232
109;2;33550
109;3;52222
109;4;10938
109;5;7707
110;1;6282
110;2;12260
110;3;39745
110;4;5033
110;5;1222
111;1;4760
111;2;11889
111;3;17090
111;4;6419
111;5;11073
112;1;12352
112;2;18047
112;3;9124
112;4;337
112;5;0
113;1;2922
113;2;10905
113;3;10158
113;4;790
113;5;570
114;1;0
114;2;0
114;3;0
114;4;0
114;5;0
115;1;13528
115;2;20981
115;3;14153
115;4;3297
115;5;0
116;1;25568
116;2;95001
116;3;41262
116;4;3077
116;5;0
117;1;11882
117;2;33733
117;3;15230
117;4;1136
117;5;0
118;1;3638
118;2;7907
118;3;3704
118;4;0
118;5;0
119;1;22293
119;2;41126
119;3;26484
119;4;0
119;5;0
120;1;0
120;2;0
120;3;0
120;4;0
120;5;0
121;1;25253
121;2;45071
121;3;12025
121;4;0
121;5;0
122;1;13926
122;2;21612
122;3;11387
122;4;884
122;5;0
123;1;13910
123;2;32188
123;3;9815
123;4;6716
123;5;0
124;1;5127
124;2;25470
124;3;20151
124;4;2371
124;5;3411
125;1;3036
125;2;22773
125;3;21178
125;4;3634
125;5;1332
126;1;2915
126;2;12612
126;3;13317
126;4;4159
126;5;1292
127;1;1379
127;2;14239
127;3;27214
127;4;10155
127;5;1416
128;1;179
128;2;356
128;3;1180
128;4;184
128;5;247
129;1;124
