nome_zona;domicilios_total;familias_total;populacao_total;empregos_fora_da_residencia;empregos_na_residencia;empregos_sem_endereco_fixo;tempo_medio_coletivo;tempo_medio_individual
Sé;1617;1617;3600;64630;382;905;34;19
Parque Dom Pedro;1820;1820;4245;49977;309;266;42;18
Praça João Mendes;7436;7436;16579;16983;765;394;42;31
Ladeira da Memória;13462;13462;24906;22136;1841;928;42;25
República;8655;8655;15099;80821;844;1005;39;21
Santa Ifigênia;9831;9831;22224;33736;2220;667;41;34
Luz;5688;5688;14849;28395;1620;1019;40;24
Bom Retiro;4251;4251;11874;10210;1928;575;68;34
Ponte Pequena;2766;2766;7630;11760;1182;488;49;25
Canindé;451;451;2134;9197;391;89;45;12
Bom Jardim;1496;1496;4345;3418;163;208;39;20
Pari;3667;3667;11311;18951;1079;498;41;22
João Teodoro;324;324;810;20664;97;24;44;17
Oriente;657;657;1700;20879;171;29;51;26
Bresser;3590;3590;8592;14262;876;479;47;16
Brás;8541;8541;19412;13460;924;636;41;14
Gasômetro;3473;3509;9199;8041;879;255;56;28
Independência;11339;11339;26660;21924;2378;1486;53;26
Cambuci;8228;8228;19625;10933;1830;545;39;25
Glicério;10954;10954;24683;8500;1002;2701;36;20
Aclimação;7489;7489;16704;6116;2325;416;42;21
Pires da Mota;5806;5806;11411;5832;771;83;43;24
Centro Cultural;2258;2258;4162;11219;828;139;33;16
Liberdade;5434;5434;10737;20112;701;669;45;28
Treze de Maio;8566;8566;16746;7412;716;2305;40;16
Bexiga;5959;5959;11824;9629;1601;996;49;32
Bela Vista;7632;7632;15414;44898;1941;1648;37;22
São Carlos do Pinhal;3814;3814;7390;20050;906;360;40;25
Masp;5988;5988;10141;70245;613;882;44;18
Higienópolis;7987;8041;16787;10371;1836;503;43;24
Vila Buarque;12925;12925;22443;24031;2285;1135;43;27
Consolação;4018;4018;7339;51532;1025;1368;40;27
Pacaembu;536;536;1538;936;308;60;49;22
FAAP;2775;2775;6465;8547;763;335;27;27
Santa Cecília;17808;17808;34564;43322;2688;2404;36;18
Marechal Deodoro;18836;18836;39380;27135;6517;2154;45;28
Rudge;4069;4069;9040;9584;1130;624;41;21
Catumbi;1938;1938;5524;3361;584;73;34;16
Belém;4833;4833;13216;9679;754;1959;42;28
Quarta Parada;3308;3363;8210;10701;892;552;42;20
Belenzinho;8869;8869;23310;16113;2308;621;35;31
Celso Garcia;2405;2597;6911;5480;1197;532;35;30
Mooca;12389;12475;32094;25853;2552;1777;41;27
Alto da Mooca;6871;6871;16950;15517;3240;475;36;29
Parque da Mooca;13462;13462;33846;29989;4393;2873;46;23
Água Rasa;15064;15365;37113;12145;1037;257;39;20
Vila Bertioga;10860;10860;26005;6752;917;1028;40;20
Regente Feijó;10194;10194;24802;9548;2425;1361;44;24
Ana Rosa;7226;7226;14861;15183;2457;664;32;25
Jardim da Glória;4033;4033;9562;2667;942;211;40;25
Chácara Klabin;6808;6808;15885;5992;2093;501;37;28
Vila Mariana;4516;4516;9523;7863;1027;692;41;29
Santa Cruz;6060;6060;14056;18993;2476;456;39;34
Vila Clementino;4025;4025;8445;26689;1033;52;32;23
França Pinto;6897;6897;15479;12258;2698;927;26;32
Rodrigues Alves;9830;10096;20419;16943;2906;1234;34;19
Paraíso;10013;10013;22219;40897;2564;2224;33;25
Bosque da Saúde;14751;14908;34327;12917;3984;871;43;26
Saúde;21941;21941;50121;22421;4489;2586;40;36
Planalto Paulista;8126;8126;20675;14554;1957;671;47;25
Mirandópolis;12200;12200;26538;16845;1212;123;27;28
Parque Ibirapuera;2201;2201;4939;14977;362;94;33;19
Jardim Luzitânia;777;777;2050;14741;147;10;27;24
Moema;14530;14530;31340;36453;3897;1805;40;20
Vila Helena;12116;12116;26312;14072;2989;454;48;30
Bandeirantes;4899;4899;10382;23260;648;451;39;22
Vila Nova Conceição;3932;3932;8911;10617;1159;548;41;23
Chácara Itaim;12357;12357;25600;74007;3943;1393;47;27
Vila Olímpia;5505;5505;10652;38782;1406;879;62;22
Hélio Pelegrino;6636;6636;13371;21609;1416;1621;40;32
Brooklin;14170;14170;31301;22303;3814;1673;48;27
Vila Cordeiro;5919;5919;13179;25648;1796;370;35;22
Berrini;4585;4585;9870;148659;2143;2582;43;27
Campinas;5775;5775;11524;50792;1385;165;44;16
Pamplona;6478;6478;13239;12710;2160;502;39;20
Jardins;3949;3949;9249;13526;1469;274;36;26
Clínicas;11386;11386;22332;40696;2564;380;33;20
Oscar Freire;8638;8696;17995;23634;1632;481;27;18
Trianon;4751;4751;9554;43082;1420;613;37;27
Jardim Paulistano;9634;9634;19075;28067;2442;528;31;22
Jardim Europa;4770;4770;11912;44059;2303;285;31;17
Pinheiros;6286;6286;12398;68944;2020;1646;35;26
Vila Madalena;11245;11245;23379;28276;4385;1054;37;21
PUC;7440;7440;16698;12178;2723;763;40;26
Cardoso de Almeida;1671;1731;4291;3544;898;111;47;19
Zequinha de Abreu;1307;1307;3031;3153;472;93;38;25
Sumaré;7661;7661;16749;8951;2325;471;34;22
